relato;area;urgencia
E aí pessoal. Débito automático do aluguel falhou de novo. O botão de cancelar não funciona. Grato pela atenção.;conta;media
Cartão foi roubado e fizeram R$ 28.689,83 em compras. Quero cartão novo o mais rápido possível.;cartao;alta
Desconto continua mesmo depois de quitado. Era R$ 1451 e tão descontando 34 reais. Att.;emprestimo;alta
Quero saber se o app tem certificação de segurança. Quero ficar tranquilo. O que eu faço?;seguranca;baixa
É confiável usar o app pra investir R$ 2541. Vi notícia de golpe e fiquei preocupado. Quero só entender melhor. Fico no aguardo.;seguranca;baixa
Conta ficou negativa em 80 reais sem autorizar. Nunca pedi esse serviço.;conta;alta
Eae. Atendente Lívia foi grosseiro comigo. Quero reclamação formal. Preciso resolver antes do vencimento. Obrigado.;atendimento;media
LCI liquidado e recebi menos que apliquei. Onde tá meu dinheiro. Obrigado.;investimento;alta
Qual agência atende no sábado. Qual o horário.;atendimento;baixa
Alô. Recebi devolução de 56 reais mas veio menos. Já tentei contato com destinatário e não resolve. Tá me atrapalhando. Espero que resolvam.;pix;media
Fui assaltado e levaram meu cartão. O app dá tente novamente mais tarde quando tento bloquear.;cartao;alta
Parcela era 147 reais mas com taxas fica R$2.335,96. Quero detalhamento de todas cobranças. Seria bom resolver essa semana.;emprestimo;media
Quero começar a investir. Quero entender riscos antes de aplicar.;investimento;baixa
Olá. Desconto do consignado no salário tá maior que combinado. Quero reverter portabilidade. Preciso do estorno porque o valor é alto.;emprestimo;alta
Opa. Pedi portabilidade há faz quase um mês e não liberam. Taxa de 3.6% é alta demais. Queria que agilizassem. Obrigado.;emprestimo;media
Boa tarde. Cartão virtual não aceita em compras internacionais. Tentei em várias lojas e nenhuma aceita.;cartao;baixa
Prometeram ligar de volta faz 3 dias e nunca ligaram. nem no spam encontro resposta.;atendimento;media
Quero registrar elogio ao atendimento. Quero que reconhecam o trabalho.;atendimento;baixa
E aí. Alguém alterou meu cadastro sem autorização. Preciso reverter. Tô sendo cobrado por algo q já paguei.;cadastro;alta
Devolvi produto na Shopee de R$12.488,01 e estorno não apareceu. Preciso do dinheiro de volta. Não é emergência mas preciso resolver.;cartao;media
Quanto ficaria se reduzirem taxa pra eu não portar?. vocês têm contraproposta.;emprestimo;media
Qual horário do atendimento por telefone?. Preciso resolver algo fora do app. Sem correria.;atendimento;baixa
Boa tarde. Condições do empréstimo mudaram depois que assinei. Não concordo com os termos. Se puderem olhar com atenção.;emprestimo;media
Olá. Preciso do comprovante de pix que fiz ontem à noite. Preciso mostrar pro fornecedor que paguei. Abraço.;pix;baixa
Selfie pra verificação não é aceita. Luz tá ok mas não aceita. Se puderem olhar com atenção. Att.;cadastro;media
Atendente disse que estorno cairia em 3 dias e não caiu. A informação tava errada. O problema é com meu cartão. Não posso ficar sem acesso à minha conta.;atendimento;alta
Consignado debitando mas não contratei. O RH não sabe de nada. Cada dia que passa perco dinheiro.;emprestimo;alta
Oi. Banco devolveu pix de R$ 140,95 que era meu. Não pedi devolução nenhuma. Tô tendo prejuízo financeiro real.;pix;alta
Mudei de nome e quero atualizar nos documentos do banco. Quanto tempo demora. É só uma dúvida.;cadastro;baixa
Eae. Quero cadastrar chave aleatória no lugar da atual. Como faz pelo app. Queria só uma informação. Abraço.;pix;baixa
Oi. Acordei com várias notificações de compra que não são minhas. Total de R$ 5.601,58 em lojas que nunca usei. Preciso contestar.;cartao;alta
Desconto continua mesmo depois de quitado. Preciso que parem de descontar.;emprestimo;alta
Pedi portabilidade de salário e não efetivou. Preciso que resolvam antes do próximo pagamento.;conta;media
Pedi parcelamento em 11 vezes e não aceitaram. Na simulação mostrava um valor e na hora mudou.;cartao;media
Pessoal. A biometria não funciona e a senha diz que tá errada. A verificação vai pro celular antigo que não tenho. Já tentei resolver sozinho e não consegui. Preciso de retorno.;conta;media
Ouvidoria respondeu com texto genérico. Problema continua igual. Tá me atrapalhando. Preciso de retorno.;atendimento;media
Boa noite. Quero cancelar débito automático e o app não permite. Preciso estorno do duplicado. Obrigada.;conta;media
Meu cartão tá perto do vencimento e não recebi o novo. Preciso dele pra semana que vem.;cartao;media
Boa noite. Transferi R$ 598 via pix faz 3 dias. mas a pessoa disse que não recebeu, e na minha conta já debitaram. Espero uma solução.;pix;media
Gasto bastante e quase não ganho pontos. Deveria ter recebido notificação.;cartao;baixa
Quero saber sobre antecipação do fgts. qual a taxa. espero que resolvam.;emprestimo;baixa
Quero ativar notificação pra cada transação. É de graça.;seguranca;baixa
Cartão bloqueado e não consigo desbloquear pelo app. O app dá sessão expirada quando tento desbloquear.;cartao;media
Tem pix saindo da minha conta que ñ autorizei. minha senha pode ter vazado. preciso do estorno pq o valor é alto.;pix;alta
LCA liquidado e recebi menos q apliquei. Perdi R$2.560,83 nessa liquidação.;investimento;alta
Cobranças agressivas de dívida que não é minha. Isso é assédio e quero que pare.;emprestimo;media
Quero saber quais dados o banco armazena sobre mim. Como solicito. Quero resolver com calma. Obrigado desde já.;cadastro;baixa
Liguei pro 0800 e fiquei faz 3 dias na espera sem ser atendido. Desisto de ligar. Agradeço a atenção.;atendimento;media
Ligaram e contrataram sem meu consentimento. Quero cancelamento e apuração. Grata.;emprestimo;alta
Me enganaram e fiz pix d 727 reais pra golpista. Tem como rastrear.;pix;alta
Cobrando dívida que já prescreveu. Nunca contratei empréstimo nesse banco. Preciso de uma posição. Preciso de retorno.;emprestimo;media
Troquei de celular e preciso configurar o app. É um celular novo.;seguranca;baixa
Outro banco disse que vocês não responderam. Preciso que liberem portabilidade. Preciso que analisem isso.;emprestimo;media
Faz 2 meses sem dividendos do fundo. Antes caíam certinho todo mês. Não é emergência mas preciso resolver.;investimento;media
Resgate diz D+30 mas venderam como D+0. Disseram que tinha liquidez diária. Preciso de retorno.;investimento;alta
Notificação de login de cidade diferente. Não fui eu. Fizeram transações na minha conta sem eu autorizar.;seguranca;alta
Quero mudar perfil de investidor. Quero acessar renda variável. É só uma dúvida. Att.;investimento;baixa
Quero saber sobre antecipação do FGTS. Qual a taxa. Abraço.;emprestimo;baixa
Quando confirmo o pix o app congela. Já atualizei e limpei cache mas nada resolve.;pix;media
Contrato do empréstimo tem cláusulas diferentes do combinado. Quero rever as condições. Preciso resolver antes do vencimento.;emprestimo;media
Opa. Quero resgatar R$ 78,21 do debêntures e o app não deixa. O prazo de carência já passou.;investimento;alta
Alô. Pix que fiz há horas não chegou no destino. Isso nunca aconteceu antes.;pix;media
Preciso informar nova renda. Mudei de emprego. Pode responder quando der. Obrigada.;cadastro;baixa
Eae. Cada atendente fala coisa diferente. Anotei tudo e respostas se contradizem. Podem me ajudar?;atendimento;alta
Sou iniciante, que produto recomendam?. Qual rendimento e prazo mínimo. Nada grave. Abraço.;investimento;baixa
Roubaram minha carteira e tão fazendo compras no cartão. quero cartão novo o mais rápido possível.;cartao;alta
Eae. Cartão virtual não aceita em compras internacionais. Já tentei gerar vários e todos dão problema. Grata.;cartao;baixa
Ligações suspeitas com info da minha conta. Estão usando meus dados pra golpe. Tô tendo prejuízo financeiro real.;atendimento;alta
Quero começar a investir. Quero entender riscos antes de aplicar. É mais pra controle mesmo. Valeu.;investimento;baixa
Liguei pro 0800 e fiquei mês passado na espera sem ser atendido. Não tem outra opção.;atendimento;media
Cartão vence esse mês e não chegou substituto. Já deveria ter chegado. Não é emergência mas preciso resolver.;cartao;media
Opa. App pede token mas não chega SMS. Tá travando tudo. Preciso resolver antes do vencimento.;seguranca;media
Meus dados pessoais apareceram num vazamento. Tem risco de fraude. Gostaria de um retorno essa semana.;seguranca;media
Liguei pro 0800 e fiquei há duas semanas na espera sem ser atendido. Preciso resolver por outro canal. Gostaria de um retorno essa semana.;atendimento;media
Boa noite. Compraram R$ 10335 no meu cartão agora e tô recebendo notificações. Preciso bloquear agora. Tô completamente bloqueado financeiramente. Podem me ajudar?;cartao;alta
Devolvi produto na um posto de gasolina de 12719 reais e estorno não apareceu. Quero que bloqueiem cobranças dessa loja. Seria bom resolver essa semana. Obrigado.;cartao;media
Minha conta foi invadida e mudaram minha senha. Preciso recuperar acesso urgente. Preciso resolver porque tô perdendo dinheiro.;seguranca;alta
Disseram que escalariam pra equipe técnica. Prazo venceu e nem atualização recebi.;atendimento;media
Perdi cartão e não consigo bloquear pelo app. Preciso bloquear urgente e contestar compras. Meu nome tá sujo por erro do banco. Fico no aguardo.;cartao;alta
Quero saber condições de empréstimo com imóvel. Tô pesquisando opções. Espero uma solução.;emprestimo;baixa
Quero juntar duas dívidas em uma. Aceito prazo maior se parcela diminuir.;emprestimo;media
Olá. Já passou do prazo legal de resposta. Vou acionar Procon se não resolverem. Tá me atrapalhando. O que eu faço?;atendimento;media
Liguei pro 0800 e fiquei anteontem na espera sem ser atendido. Isso é desrespeito.;atendimento;media
Olá, bom dia. Pix tá demorando muito hoje. O destinatário tá reclamando.;pix;media
Como paro de receber extrato em papel. Tô recebendo muito papel.;cadastro;baixa
Boa tarde. Minha conta foi invadida e mudaram minha senha. Preciso recuperar acesso urgente. Obrigado desde já.;seguranca;alta
Preciso resgatar R$ 25.420,21 e dá falha no servidor. Preciso do dinheiro pra emergência.;investimento;alta
Oi gente. Meu cartão tem seguro viagem?. Como faço pelo app.;cartao;baixa
Débito automático do aluguel falhou de novo. Tô com conta atrasada por culpa do banco. Minha renda tá comprometida por essa cobrança. Agradeço a atenção.;conta;alta
Preciso do informe de rendimentos pro IR. É pra declaração do imposto.;investimento;baixa
Boa noite. Devolvi produto na Apple de R$ 16.398,80 e estorno não apareceu. Quero que bloqueiem cobranças dessa loja. Se demorar mais vai complicar. Obrigado desde já.;cartao;media
Rendimento do poupança tá muito abaixo do prometido. Quero resgatar antes que piore.;investimento;media
Sou iniciante e quero orientação. Quero entender riscos.;investimento;baixa
Não sei preencher os investimentos na declaração. Qual campo usar. Tô perguntando pra me organizar. Valeu pela ajuda.;investimento;baixa
Preciso de conta PJ. Preciso de orientação.;conta;baixa
Preciso recadastrar minha chave pix do CPF. Preciso resolver pra receber meu salário. Só pra eu saber.;pix;baixa
Quero declaração de quitação. Preciso com urgência pra cartório.;conta;media
Recebi notificação de compra de 11726 reais que não fiz. 11726 reais na Spotify e mais compras internacionais. Tô sendo cobrado por algo que já paguei. Att.;cartao;alta
Reclamei no Reclame Aqui e sem retorno. Já faz no fim de semana. Se demorar mais vai complicar.;atendimento;media
Oi gente. Preciso recadastrar minha chave pix do CPF. As pessoas tentam me pagar e não vai. Obrigada.;pix;baixa
Cancelei compra de 17 reais e o limite não voltou. Nunca atrasei pagamento.;cartao;media
Como solicito segundo cartão. Qual o limite do adicional. Se puderem olhar com atenção. Valeu pela ajuda.;cartao;media
Imposto sobre dividendos veio maior. Cobraram imposto demais. Preciso resolver antes do vencimento.;investimento;media
Desconto continua mesmo depois de quitado. Tá comprometendo meu orçamento. Preciso que bloqueiem as transações fraudulentas. Grato.;emprestimo;alta
Opa, tudo bem. Como registro meu celular novo no app. O app pede verificação. Att, {nome}.;seguranca;alta
Preciso do histórico de pagamentos. Não encontro no app.;emprestimo;baixa
Pediram pra eu validar identidade e não consigo. Já tentei 4 vezes.;cadastro;media
Alô. Gerei cartão virtual e expirou antes de usar. Preciso comprar algo urgente online. Pode ser no prazo normal. Podem me ajudar?;cartao;baixa
Quero elogiar o atendente Heitor. Fiquei muito satisfeito.;atendimento;baixa
Preciso atualizar meu endereço. mudei hoje de manhã.;cadastro;baixa
Bot encerrou dizendo que resolveu mas não resolveu. Quero falar com humano.;atendimento;media
Opa, tudo bem. Disseram que resolveriam faz uma semana e não fizeram. A informação tava errada. Não posso ficar sem acesso à minha conta. Agradeço a atenção.;atendimento;alta
Meus dados pessoais apareceram num vazamento. O que devo fazer. É só uma dúvida.;seguranca;baixa
Oi. Apareceu saque de R$2.981,68 que não reconheço. Meu cartão tava comigo. Minha renda tá comprometida por essa cobrança.;conta;alta
Fui xingado pelo atendente quando reclamei. Quero falar com supervisor. ñ é emergência mas preciso resolver.;atendimento;media
Quero cancelar recebimento de correspondência física. É só desativar.;cadastro;baixa
Oi. Pix tem tarifa nesse banco?. Vi propaganda sobre isso. Espero uma solução.;pix;baixa
Boa noite. Quero cancelar recebimento de correspondência física. É só desativar. Obrigada.;cadastro;baixa
Boa noite. Já abri 2 chamados sobre o mesmo problema. Já mandei mensagem pelo chat e email. Se demorar mais vai complicar.;atendimento;media
Opa. Selfie pra verificação não é aceita. A câmera trava.;cadastro;media
Como habilitar verificação por biometria. Como configuro.;seguranca;baixa
Ligações suspeitas com info da minha conta. Estão usando meus dados pra golpe. Meu cartão tá sendo usado por terceiros agora. Valeu pela ajuda.;atendimento;alta
Transferi R$ 8.446,60 via pix essa semana. e até agora o dinheiro não caiu na conta da pessoa.;pix;media
App pede token mas não chega SMS. Preciso do token pra transferência. Preciso de uma posição.;seguranca;media
Minha senha parou de funcionar. Quando peço redefinição não chega o código. Preciso de uma posição.;conta;media
O cartão não passa na Amazon. Já reiniciei o app e nada mudou. Tô sem acesso ao meu dinheiro. Obrigado desde já.;cartao;alta
Tiraram R$ 24.339,47 da conta sem autorização. No extrato aparece como débito automático que nunca autorizei. Não consigo fazer nenhuma operação financeira.;conta;alta
Opa, tudo bem. Cartão vence esse mês e não chegou substituto. Já deveria ter chegado. Espero q resolvam.;cartao;alta
O atendente Diego foi excelente. Fiquei muito satisfeito.;atendimento;baixa
Como habilitar alerta de movimentação. É de graça.;seguranca;baixa
O app é seguro pra fazer transações de 6335 reais. Nunca usei pra valores altos. Sem pressa. Valeu.;seguranca;baixa
Não recebi dividendos do fundo multimercado. Cobraram imposto demais. O atendimento não resolve.;investimento;media
Alô. Tem compra de 17879 reais no cartão virtual que não fiz. Nunca cadastrei nesse site.;cartao;alta
Boa noite. Fui xingado pelo atendente quando reclamei. Isso é inaceitável.;atendimento;media
Quero mudar data de vencimento da fatura. Como faço pelo app.;cartao;baixa
Eae. Selfie pra verificação não é aceita. A câmera trava. Aguardo retorno.;cadastro;media
Alô. Quitei há faz quase um mês e nome ainda sujo. Preciso limpar nome pra financiamento. Fico no aguardo.;emprestimo;alta
Opa, tudo bem. Quando sai o informe desse ano?. Não confere com extratos.;investimento;baixa
Boa noite. Contratei empréstimo e me arrependi, quero cancelar. Quero cancelamento e apuração. O que eu faço?;emprestimo;alta
É confiável usar o app pra investir R$ 83. Vi notícia de golpe e fiquei preocupado. Sem correria.;seguranca;baixa
Pedi portabilidade ha semana passada e não liberam. Taxa de 0.9% e alta demais. Espero uma solução.;emprestimo;media
Paguei dívida de R$ 99 e nome continua sujo. Preciso limpar nome pra financiamento. Quero resolver com calma.;emprestimo;baixa
CLONARAM MEU WHATSAPP E PEDEM PIX USANDO MINHA CHAVE. RECEBI RECLAMAÇÕES D VÁRIAS PESSOAS. TÃO DESCONTANDO DINHEIRO DA MINHA CONTA SEM AUTORIZAÇÃO.;pix;alta
Descontaram R$ 5.021,67 de empréstimo que nunca fiz. Quero estorno imediato.;emprestimo;alta
Compra de R$ 11519 na uma farmácia tá aparecendo duplicada na fatura. Tenho o comprovante.;cartao;media
Alguém ligou sabendo meu saldo. Falha grave de segurança. Aguardo retorno.;atendimento;alta
Eae. Quero cancelar a conta porque vou mudar de banco. O app não tem essa opção. Quero resolver com calma.;conta;baixa
Apliquei R$ 2165 em LCA e rendimento tá negativo. Prometeram acima da poupança quando apliquei. Quero resolver logo pra ñ dar problema.;investimento;media
Reclamei no Reclame Aqui e sem retorno. Protocolo 874206847. Preciso de uma posição.;atendimento;media
Meu cartão tá perto do vencimento e não recebi o novo. Já deveria ter chegado. Já faz um tempo e não resolveram.;cartao;media
Simulei empréstimo e quero entender as taxas. É pra comparar com outros bancos.;emprestimo;alta
Recebi boleto falso com dados do banco. Preciso de estorno. Att.;seguranca;alta
E aí. Sistema do banco tá instável. Muita gente reclamando.;atendimento;media
Vocês têm atendimento presencial?. Preciso resolver algo fora do app. Sem correria.;atendimento;baixa
Perdi meu celular com o app logado. Não sei se tinham biometria. Cada dia que passa perco dinheiro.;seguranca;alta
Tá faltando dado no cadastro e bloqueia operações. Já tentei completar. Preciso resolver antes do vencimento.;cadastro;media
Tiraram R$115,78 da conta sem autorização. No extrato aparece como débito automático que nunca autorizei.;conta;alta
Boa noite. Cartão foi bloqueado e pedi novo mas não recebi. No app mostra enviado mas não recebi. Quando tiver um tempinho. Obrigado desde já.;cartao;baixa
Oi gente. Clonaram meu WhatsApp e pedem pix usando minha chave. Preciso bloquear minha chave urgente.;pix;alta
Quero quitar antecipadamente. Quero a diferença d volta.;emprestimo;baixa
Quero personalizar limite noturno. Vi que mudou e quero confirmar.;pix;baixa
Meu celular foi roubado e tenho o app do banco instalado. Não sei se tinham biometria. Cada dia que passa perco dinheiro.;seguranca;alta
Ligaram e contrataram sem meu consentimento. Quero cancelar dentro do prazo de 7 dias.;emprestimo;alta
Débito automático do aluguel falhou de novo. Preciso estorno do duplicado. Seria bom resolver essa semana.;conta;media
Minha chave pix sumiu do app. Diz que já tá em uso em outro banco.;pix;baixa
Minha renda mudou e quero atualizar. pra aumentar limite. nada grave.;cadastro;baixa
Boa noite. Saque que não fiz de R$ 1235 no caixa eletrônico. Preciso de estorno e investigação. Preciso de retorno.;conta;alta
Estão usando meus dados pra fazer pix em meu nome. Recebi reclamações de várias pessoas.;pix;alta
E aí. Preciso atualizar meu endereço. Como faço pelo app. Obrigada.;cadastro;baixa
Olá. Token de segurança parou de funcionar. Preciso do token pra transferência. Preciso resolver antes do vencimento.;seguranca;media
Pessoal. Qual a política de privacidade de dados. É meu direito. Só pra eu saber.;cadastro;baixa
Bom dia. Quero trocar meu telefone de contato. Preciso ir na agência. Agradeço a atenção.;cadastro;baixa
Paguei na data e cobraram multa d 1565 reais. tenho comprovante e mesmo assim descontaram.;emprestimo;alta
Recebi devolução de 480 reais mas veio menos. Quero saber o status da solicitação. Agradeço a atenção.;pix;media
Roubaram meu celular e fizeram vários pix totalizando R$5.371,89. Não sei como conseguiram acessar.;pix;alta
Parcela tem IOF muito alto que não informaram. Quando contratei mostraram outro valor. Tô perguntando pra me organizar. Espero uma solução.;emprestimo;baixa
Quero saber quais dados o banco armazena sobre mim. Como solicito.;cadastro;baixa
Olá. Recebi cobrança de conta que nunca abri. Isso tá afetando meu CPF. Espero uma solução.;conta;alta
Informe tá com valores errados. É pra declaração do imposto.;investimento;baixa
Proventos não creditados na data. cobraram imposto demais.;investimento;media
Como habilitar verificação por biometria. Quero me proteger.;seguranca;baixa
Como registro meu celular novo no app. Como faço a migração. Quando tiver um tempinho. Conto com vocês.;seguranca;baixa
O app não deixa eu fazer pix, aparece conexão recusada. Já reinstalei o app e continua igual. Não é emergência mas preciso resolver.;pix;media
Boa noite. Preciso atualizar endereço no cadastro. Verificação vai pro contato antigo que não tenho. Tô só conferindo.;conta;baixa
Quero elogiar o atendente Mariana. Foi muito atencioso.;atendimento;baixa
Apareceram pix que eu não fiz totalizando R$ 143,50. Preciso bloquear tudo e recuperar o dinheiro. Agradeço a atenção.;pix;alta
Notificação de login de cidade diferente. Não fui eu. Não consigo fazer nenhuma operação financeira.;seguranca;alta
Tô esperando retorno há mais de 3 dias. Já liguei várias vezes.;atendimento;media
Recebi boleto falso com dados do banco. O boleto parecia legítimo.;seguranca;media
Estão descontando R$ 25.279,16 do meu salário sem eu ter empréstimo. Nunca autorizei consignado. O que eu faço?;emprestimo;alta
Opa, tudo bem. Acho que vazaram meus dados. Quero saber quais dados foram comprometidos. Meu cartão tá sendo usado por terceiros agora. Att.;atendimento;alta
Fui maltratado no atendimento. Quero falar com supervisor.;atendimento;media
Apareceram pix que eu não fiz totalizando R$606,97. Não reconheço essas transferências.;pix;alta
Faz 2 meses sem dividendos do fundo. Cobraram imposto demais.;investimento;media
Diferença entre fundo multimercado e poupança?. Quero entender riscos antes de aplicar.;investimento;baixa
Boa noite. Botão de resgate desabilitado no app. Quero saber quando vou receber. Agradeço a atenção.;investimento;alta
Olá, bom dia. Minha conta foi invadida e mudaram minha senha. Preciso recuperar acesso urgente. Abraço.;seguranca;alta
Imposto sobre investimento tá errado. Isso afetou meu rendimento. Tá me atrapalhando.;investimento;media
Resgate parcial e saldo restante errado. Quero explicação do cálculo.;investimento;media
Quero deletar chave pix e criar nova. Preciso de orientação.;pix;baixa
Abri chamado faz 3 dias e disseram que resolveriam em 10 dias. Já passou do prazo e nada. Preciso de uma posição.;atendimento;media
Alô. Estornaram R$ 113,09 do pix que eu tinha recebido. Não pedi devolução nenhuma. Fizeram transações na minha conta sem eu autorizar. Obrigada.;pix;alta
Juros do empréstimo são 1.8% ao mês, muito acima do combinado. quero igualar à taxa de novos clientes.;emprestimo;media
Tentei ligar 3 vezes e ninguém atende. Isso é desrespeito. É sobre problema com pix.;atendimento;media
Olá, bom dia. solicitei segunda via e faz mais de 15 dias. enquanto isso não tenho como pagar no crédito. quando tiver um tempinho. espero uma solução.;cartao;baixa
Oi. App dá erro quando tento mudar cadastro. Aparece operação não permitida. nao posso ficar sem acesso à minha conta. Podem me ajudar?;cadastro;alta
Não consigo mais entrar na conta e não fui eu que troquei a senha. Preciso recuperar acesso urgente. Minha renda tá comprometida por essa cobrança. Grata.;seguranca;alta
Oi, boa noite. Prazo de 10 dias venceu sem solução. Preciso de data concreta. Preciso de uma solução em breve. Att, {nome}.;atendimento;media
Cobraram parcela de 5142 reais que já paguei. Preciso que verifiquem e corrijam.;emprestimo;alta
Cada atendente fala coisa diferente. Por causa disso perdi prazo de contestar 17043 reais.;atendimento;alta
Cheque especial ativado sem pedir. Quero cancelar e estornar juros.;conta;alta
Oi. Salário caiu na conta antiga em vez da nova. Preciso que resolvam antes do próximo pagamento. Tá pendente há dias. Agradeço a atenção.;conta;media
Supervisor disse que resolveria em 24h. Problema continua sem solução. Preciso resolver isso em breve.;atendimento;media
Apareceu saque de R$ 2534 que não reconheço. Meu cartão tava comigo.;conta;alta
Debitaram R$ 16.715,79 como saque e eu não saquei. Meu cartão tava comigo.;conta;alta
Boa noite. Tem seguro e tarifa na parcela que ñ explicaram. Não concordo com taxas não apresentadas. Abraço.;emprestimo;media
Eae. Fiz uma transferência pix de 28856 reais. e o valor foi debitado mas o destinatário não recebeu.;pix;media
Vou reclamar no Banco Central. Liguei 5 vezes e ninguém resolve. Vou pro Procon. Obrigado.;atendimento;media
Não entendo porque descontaram tanto imposto. Quero calcular antes de resgatar. Aguardo retorno.;investimento;baixa
É confiável usar o app pra investir 16 reais. Vi notícia de golpe e fiquei preocupado. Valeu pela ajuda.;seguranca;alta
Oi. Consignado debitando mas não contratei. Nunca autorizei consignado. Valeu.;emprestimo;alta
Esqueci minha senha e quero redefinir. Posso fazer pelo app.;seguranca;baixa
Olá. Gerei cartão virtual e expirou antes de usar. Preciso comprar algo urgente online. Agradeço a atenção.;cartao;baixa
Pediram pra eu validar identidade e não consigo. Luz tá ok mas não aceita.;cadastro;media
Oi gente. esperei mais de uma hora no telefone. desisto de ligar. agradeço a atenção.;atendimento;media
Oi. Quero mudar pro plano sem tarifa. Qual o procedimento. Quando puderem me responder.;conta;baixa
Segunda via foi pro endereço antigo. Enquanto isso não tenho como pagar no crédito. Preciso que analisem isso.;cartao;media
Hackearam minha conta bancária. Preciso recuperar acesso urgente.;seguranca;alta
App ofereceu pré-aprovado de R$ 36 e quando fui contratar negaram. Quero saber o que fazer pra aprovar.;emprestimo;baixa
Bom dia. Preciso de documento comprovando que não devo nada. Quanto tempo demora. É mais pra controle mesmo. Preciso de retorno.;conta;baixa
Selfie pra verificação não é aceita. A câmera trava.;cadastro;media
Olá, bom dia. Minha conta foi invadida e mudaram minha senha. Preciso recuperar acesso urgente. Agradeço a atenção.;seguranca;alta
WhatsApp de vocês não responde. Mandei mensagem mês passado e ninguém respondeu.;atendimento;baixa
Fizeram pix da minha conta de madrugada. Não fui eu e quero bloquear.;pix;alta
Bom dia. Quero acessar meu cadastro completo. Preciso pra outro banco. Obrigado desde já.;cadastro;baixa
Opa. Me enganaram e fiz pix de R$89,43 pra golpista. Preciso recuperar o dinheiro. Tô completamente bloqueado financeiramente.;pix;alta
Eae. Compra parcelada cancelada e limite das parcelas futuras não voltou. Preciso de limite temporário pra emergência. Grato pela atenção.;cartao;media
Parcela do empréstimo tá vencendo e preciso de carência. Tô passando por dificuldade. Tá me atrapalhando. Obrigado desde já.;emprestimo;media
Eae. quero diversificar além da poupança. quero entender riscos antes de aplicar. é só uma dúvida. podem me ajudar?;investimento;baixa
Quero alterar a data de vencimento da fatura. Fica melhor pro meu orçamento.;cartao;baixa
Boa noite. Como configuro limite de pix por período. É pra segurança. Gostaria de um retorno essa semana. Valeu pela ajuda.;pix;media
Oi, boa noite. Já quitei e continuam cobrando. Quero estorno imediato. Meu nome tá sujo por erro do banco. Grata.;emprestimo;alta
Meu investimento de 2809 reais foi liquidado sem eu pedir. Quero investigação e estorno. O atendimento não resolve.;investimento;alta
Meus dados pessoais apareceram num vazamento. O que devo fazer. Preciso de uma posição.;seguranca;media
Boa tarde. Não acho informe no app. No app só tem do ano passado. Grato.;investimento;baixa
Opa, tudo bem. Meus pontos zeraram sem eu resgatar. Quero entender as regras do programa.;cartao;baixa
Boa noite. Chamado 638468844 aberto faz 3 dias sem retorno. Ninguém resolve e faz faz 3 dias que espero. Fico no aguardo.;atendimento;media
Oi gente. Preciso d extrato detalhado dos últimos 3 meses. Preciso pra financiamento.;conta;baixa
Preciso entender tributação do Tesouro IPCA. Quero calcular antes de resgatar.;investimento;media
Alô. Minha renda mudou e quero atualizar. Pode ser pelo app. Não tem pressa nenhuma. Espero uma solução.;cadastro;baixa
Tentei varias vezes atualizar e não vai. preciso atualizar pra receber cartão. fico no aguardo.;cadastro;media
Pessoal. Parcela subiu de 727 reais pra R$ 8.167,36 sem aviso. Não quero ficar inadimplente. Preciso que analisem isso.;emprestimo;media
Opa, tudo bem. Abri chamado faz 2 dias e disseram que resolveriam em 15 dias. O problema continua igual. Att, {nome}.;atendimento;media
Boa noite. parcela de empréstimo inexistente sendo descontada da folha. o rh não sabe de nada. grato pela atenção.;emprestimo;alta
Boa noite. Quero extrato em PDF dos últimos 6 meses. É pra declaração do imposto de renda. Sem correria. Obrigada.;conta;baixa
Valor resgatado nao bate com extrato. descontaram come-cotas fora do período. preciso d uma solução em breve.;investimento;media
Tem como ajustar limite pix por horário. É pra segurança. Meu cartão tá sendo usado por terceiros agora.;pix;alta
Olá. a fatura veio com juros de r$ 65 mas paguei na data. quero explicação detalhada dessa cobrança. minha conta tá com problema tb.;cartao;media
Oi gente. Troquei de celular e não consigo acessar a conta. Já reinstalei e nada mudou. Já faz um tempo e não resolveram.;conta;media
Não consigo gerar cartão virtual, dá app fecha sozinho. Preciso comprar algo urgente online.;cartao;media
Olá, bom dia. Banco pede pra completar cadastro mas app não deixa. Tá impedindo transferências. Tô perguntando pra me organizar.;cadastro;baixa
Boa noite. Quero saber se o app tem certificação de segurança. Nunca usei pra valores altos. Tô só conferindo.;seguranca;baixa
Recebi salário de R$ 17.717,16 e saldo não atualizou. Preciso que verifiquem o que aconteceu. Preciso resolver porque tô perdendo dinheiro. Obrigada.;conta;alta
Me enganaram e fiz pix de R$23,41 pra golpista. Quero acionar o MED.;pix;alta
Preciso de mais prazo pro empréstimo. Como faço pelo app. Já faz um tempo e não resolveram. Att.;emprestimo;media
Meu endereço foi mudado e não fui eu. Não autorizei nenhuma mudança. Preciso verificar meu cadastro também.;cadastro;alta
Me mandaram link suspeito pelo WhatsApp dizendo ser do banco. Não cliquei no link. Preciso que analisem isso.;seguranca;media
Apareceu parcela de empréstimo debitando direto da conta. Quero investigação.;conta;alta
Portabilidade de salário não funcionou. Preciso que resolvam antes do próximo pagamento. Quero só entender melhor.;conta;baixa
E aí pessoal. Pagaram boleto fraudulento da minha conta. O boleto parecia legítimo. Att.;seguranca;alta
